SMILES,KELAS,C,O,B,N,P,S,F,Cl,Br,Z,@,I,COC,=,[O-],C=C,N+,C=O,:,.,-,+,[],(),#
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,1,27,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,20,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1,28,5,0,12,0,0,0,2,0,7,0,0,0,11,0,3,0,0,0,2,0,0,0,10,0
CCCCCCC=CCCCCCCCC(=O)NCCO,1,64,8,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0
C1=CC(=CC=C1C(=O)O)C(=O)O.C(CO)O,1,25,18,0,0,0,0,0,0,0,6,0,0,0,12,0,3,0,0,0,3,0,0,0,12,0
CC(C(C(=O)O)N)OC1C(C(C(C(O1)COC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)CNC(=O)OCCOC)O)C(=O)O)O)O)NC(=O)C,1,24,18,0,4,0,0,0,0,0,4,0,0,2,5,0,0,0,0,0,0,0,0,0,18,0
CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1,28,5,0,12,0,0,0,2,0,7,0,0,0,11,0,3,0,0,0,2,0,0,0,10,0
C(COCCOCCOCCOCCO)O,1,11,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,0
C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,1,18,9,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,1,18,9,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
CCCCCCCCCCCCOCCO,1,75,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O.C=O.C1CO1,1,30,7,0,0,0,0,0,0,0,10,0,0,0,2,0,5,0,2,0,5,0,0,0,12,0
CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,1,22,8,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,11,0
C[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C=C,1,7,7,0,0,0,7,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0
C[Si](C)(C=C)O[Si](C)(C)C=C,1,14,3,0,0,0,7,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,14,0
C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,1,29,10,0,2,0,0,0,0,0,21,0,0,0,2,0,5,0,0,0,0,0,0,0,8,0
CCCCCCCCCCCCOCCOCCOCCOCCO,1,48,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
O=[Zr]=O,1,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,32,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
C=O.C(=O)(N)N,1,7,15,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,15,0
CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)OCCO)O)O)O)O,1,30,22,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0
